g3_12system_code,system_name,year,period,g3_8_all_subjects,g3_8_ela,g3_8_math,g3_8_science,g3_8_social_studies,g3_12_all_subjects,g3_12_ela,g3_12_math,g3_12_science,g3_12_social_studies
R17,East Baton Rouge Parish - Ebr And Rsd,2025,post_ban,28,36,27,23,24,28,36,26,23,24
R36,Orleans Parish,2018,pre_ban,26,33,24,19,21,27,34,25,NA,21
R36,Orleans Parish,2019,pre_ban,26,32,24,19,21,27,33,24,NA,21
R36,Orleans Parish,2021,pre_ban,18,26,13,15,16,19,28,14,16,17
R36,Orleans Parish,2022,pre_ban,21,30,17,17,18,21,31,18,18,19
R36,Orleans Parish,2023,pre_ban,23,33,20,20,20,24,33,21,21,21
R36,Orleans Parish,2024,pre_ban,27,36,23,22,NA,27,36,24,22,26
R36,Orleans Parish,2025,post_ban,28,37,24,23,26,28,37,26,23,27
RBR,Recovery School District - Baton Rouge,2018,pre_ban,16,21,17,6,10,15,19,15,NA,10
RBR,Recovery School District - Baton Rouge,2019,pre_ban,16,21,15,6,10,15,20,14,NA,10
RBR,Recovery School District - Baton Rouge,2021,pre_ban,7,12,5,5,6,7,12,5,5,6
RBR,Recovery School District - Baton Rouge,2022,pre_ban,7,15,6,NA,NA,8,16,6,NA,NA
RBR,Recovery School District - Baton Rouge,2023,pre_ban,10,19,7,8,6,10,19,7,8,6
RBR,Recovery School District - Baton Rouge,2024,pre_ban,12,18,10,7,NA,12,18,10,7,NA
RBR,Recovery School District - Baton Rouge,2025,post_ban,13,22,13,8,8,13,22,13,8,8
STATE,Louisiana Statewide,2018,pre_ban,34,43,32,29,27,35,43,33,NA,28
STATE,Louisiana Statewide,2019,pre_ban,35,44,34,29,28,36,44,35,NA,28
